setting,service_time,menu,method,shifts,profile,paid_hours,requirement_hours,surplus_window_hours,saving_vs_best_two_step_pct,worst_late,hours_significantly_over,iss_start,simulator_calls
office,8.0,standard,SIPP-IP,"{""8-4"": 3}","[3, 3, 3, 3, 3, 3, 3, 3]",24,22,2,0.0,0.045,0,,
office,8.0,standard,OL-avg-IP,"{""8-4"": 3}","[3, 3, 3, 3, 3, 3, 3, 3]",24,22,2,0.0,0.045,0,,
office,8.0,standard,SGS-UCB-IP,"{""8-4"": 3, ""9-1"": 1}","[3, 4, 4, 4, 4, 3, 3, 3]",28,21,7,-16.7,0.0226,0,,
office,8.0,standard,ISS,"{""8-4"": 3}","[3, 3, 3, 3, 3, 3, 3, 3]",24,,,0.0,0.045,0,OL-avg-IP,12
office,8.0,flexible,SIPP-IP,"{""8-4"": 3}","[3, 3, 3, 3, 3, 3, 3, 3]",24,22,2,0.0,0.045,0,,
office,8.0,flexible,OL-avg-IP,"{""8-4"": 3}","[3, 3, 3, 3, 3, 3, 3, 3]",24,22,2,0.0,0.045,0,,
office,8.0,flexible,SGS-UCB-IP,"{""8-4"": 3, ""9-1"": 1}","[3, 4, 4, 4, 4, 3, 3, 3]",28,21,7,-16.7,0.0226,0,,
office,8.0,flexible,ISS,"{""8-4"": 3}","[3, 3, 3, 3, 3, 3, 3, 3]",24,,,0.0,0.045,0,OL-avg-IP,18
R2_S8_A0.6,8.0,standard,SIPP-IP,"{""8-4"": 4, ""9-1"": 1}","[4, 5, 5, 5, 5, 4, 4, 4]",36,27,9,-12.5,0.024,0,,
R2_S8_A0.6,8.0,standard,OL-avg-IP,"{""8-4"": 4}","[4, 4, 4, 4, 4, 4, 4, 4]",32,24,8,0.0,0.0508,0,,
R2_S8_A0.6,8.0,standard,SGS-UCB-IP,"{""8-4"": 4}","[4, 4, 4, 4, 4, 4, 4, 4]",32,24,8,0.0,0.0508,0,,
R2_S8_A0.6,8.0,standard,ISS,"{""8-4"": 4}","[4, 4, 4, 4, 4, 4, 4, 4]",32,,,0.0,0.0508,0,OL-avg-IP,12
R2_S8_A0.6,8.0,flexible,SIPP-IP,"{""8-4"": 3, ""9-3"": 1, ""8-12"": 1}","[4, 5, 5, 5, 4, 4, 4, 3]",34,27,7,-13.3,0.0383,0,,
R2_S8_A0.6,8.0,flexible,OL-avg-IP,"{""8-4"": 3, ""9-3"": 1}","[3, 4, 4, 4, 4, 4, 4, 3]",30,24,6,0.0,0.0685,0,,
R2_S8_A0.6,8.0,flexible,SGS-UCB-IP,"{""8-4"": 3, ""9-3"": 1}","[3, 4, 4, 4, 4, 4, 4, 3]",30,24,6,0.0,0.0685,0,,
R2_S8_A0.6,8.0,flexible,ISS,"{""8-4"": 3, ""9-3"": 1}","[3, 4, 4, 4, 4, 4, 4, 3]",30,,,0.0,0.0685,0,OL-avg-IP,33
R2_S32_A0.6,32.0,standard,SIPP-IP,"{""8-4"": 5, ""9-1"": 1}","[5, 6, 6, 6, 6, 5, 5, 5]",44,35,9,-10.0,0.0311,0,,
R2_S32_A0.6,32.0,standard,OL-avg-IP,"{""8-4"": 5}","[5, 5, 5, 5, 5, 5, 5, 5]",40,32,8,0.0,0.0391,0,,
R2_S32_A0.6,32.0,standard,SGS-UCB-IP,"{""8-4"": 5}","[5, 5, 5, 5, 5, 5, 5, 5]",40,31,9,0.0,0.0391,0,,
R2_S32_A0.6,32.0,standard,ISS,"{""8-4"": 5}","[5, 5, 5, 5, 5, 5, 5, 5]",40,,,0.0,0.0391,0,OL-avg-IP,12
R2_S32_A0.6,32.0,flexible,SIPP-IP,"{""8-4"": 4, ""9-3"": 1, ""8-12"": 1}","[5, 6, 6, 6, 5, 5, 5, 4]",42,35,7,-10.5,0.0626,0,,
R2_S32_A0.6,32.0,flexible,OL-avg-IP,"{""8-4"": 4, ""9-3"": 1}","[4, 5, 5, 5, 5, 5, 5, 4]",38,32,6,0.0,0.0626,0,,
R2_S32_A0.6,32.0,flexible,SGS-UCB-IP,"{""8-4"": 4, ""9-3"": 1}","[4, 5, 5, 5, 5, 5, 5, 4]",38,31,7,0.0,0.0626,0,,
R2_S32_A0.6,32.0,flexible,ISS,"{""8-4"": 4, ""9-3"": 1}","[4, 5, 5, 5, 5, 5, 5, 4]",38,,,0.0,0.0626,0,OL-avg-IP,33
R8_S8_A0.6,8.0,standard,SIPP-IP,"{""8-4"": 13, ""9-1"": 1}","[13, 14, 14, 14, 14, 13, 13, 13]",108,77,31,0.0,0.0029,0,,
R8_S8_A0.6,8.0,standard,OL-avg-IP,"{""8-4"": 13, ""9-1"": 1}","[13, 14, 14, 14, 14, 13, 13, 13]",108,76,32,0.0,0.0029,0,,
R8_S8_A0.6,8.0,standard,SGS-UCB-IP,"{""8-4"": 13, ""9-1"": 1}","[13, 14, 14, 14, 14, 13, 13, 13]",108,72,36,0.0,0.0029,0,,
R8_S8_A0.6,8.0,standard,ISS,"{""8-4"": 11, ""9-1"": 1}","[11, 12, 12, 12, 12, 11, 11, 11]",92,,,14.8,0.0727,0,OL-avg-IP,73
R8_S8_A0.6,8.0,flexible,SIPP-IP,"{""8-4"": 10, ""9-3"": 3, ""8-12"": 1}","[11, 14, 14, 14, 13, 13, 13, 10]",102,77,25,-4.1,0.0074,0,,
R8_S8_A0.6,8.0,flexible,OL-avg-IP,"{""8-4"": 9, ""9-3"": 4, ""9-1"": 1}","[9, 14, 14, 14, 14, 13, 13, 9]",100,76,24,-2.0,0.0179,0,,
R8_S8_A0.6,8.0,flexible,SGS-UCB-IP,"{""8-4"": 8, ""9-3"": 5, ""9-1"": 1}","[8, 14, 14, 14, 14, 13, 13, 8]",98,72,26,0.0,0.0482,0,,
R8_S8_A0.6,8.0,flexible,ISS,"{""8-4"": 10, ""9-3"": 1, ""8-12"": 1}","[11, 12, 12, 12, 11, 11, 11, 10]",90,,,8.2,0.0774,0,standard ISS,132
R8_S32_A0.6,32.0,standard,SIPP-IP,"{""8-4"": 15, ""9-1"": 1}","[15, 16, 16, 16, 16, 15, 15, 15]",124,87,37,-14.8,0.007,0,,
R8_S32_A0.6,32.0,standard,OL-avg-IP,"{""8-4"": 13, ""9-1"": 1}","[13, 14, 14, 14, 14, 13, 13, 13]",108,84,24,0.0,0.0363,0,,
R8_S32_A0.6,32.0,standard,SGS-UCB-IP,"{""8-4"": 15, ""9-1"": 1}","[15, 16, 16, 16, 16, 15, 15, 15]",124,80,44,-14.8,0.007,0,,
R8_S32_A0.6,32.0,standard,ISS,"{""8-4"": 13}","[13, 13, 13, 13, 13, 13, 13, 13]",104,,,3.7,0.0572,0,OL-avg-IP,32
R8_S32_A0.6,32.0,flexible,SIPP-IP,"{""8-4"": 11, ""9-3"": 4, ""8-12"": 1}","[12, 16, 16, 16, 15, 15, 15, 11]",116,87,29,-9.4,0.0238,0,,
R8_S32_A0.6,32.0,flexible,OL-avg-IP,"{""8-4"": 12, ""9-3"": 1, ""9-1"": 1}","[12, 14, 14, 14, 14, 13, 13, 12]",106,84,22,0.0,0.0413,0,,
R8_S32_A0.6,32.0,flexible,SGS-UCB-IP,"{""8-4"": 10, ""9-3"": 5, ""9-1"": 1}","[10, 16, 16, 16, 16, 15, 15, 10]",114,80,34,-7.5,0.0396,0,,
R8_S32_A0.6,32.0,flexible,ISS,"{""8-4"": 12, ""9-3"": 1}","[12, 13, 13, 13, 13, 13, 13, 12]",102,,,3.8,0.0584,0,standard ISS,50
R24_S8_A0.6,8.0,standard,SIPP-IP,"{""8-4"": 36, ""9-1"": 4}","[36, 40, 40, 40, 40, 36, 36, 36]",304,204,100,-4.1,0.0002,0,,
R24_S8_A0.6,8.0,standard,OL-avg-IP,"{""8-4"": 35, ""9-1"": 3}","[35, 38, 38, 38, 38, 35, 35, 35]",292,201,91,0.0,0.0006,0,,
R24_S8_A0.6,8.0,standard,SGS-UCB-IP,"{""8-4"": 36, ""9-1"": 4}","[36, 40, 40, 40, 40, 36, 36, 36]",304,198,106,-4.1,0.0002,0,,
R24_S8_A0.6,8.0,standard,ISS,"{""8-4"": 29, ""8-12"": 3, ""12-4"": 1}","[32, 32, 32, 32, 30, 30, 30, 30]",248,,,15.1,0.0681,0,OL-avg-IP,322
R24_S8_A0.6,8.0,flexible,SIPP-IP,"{""8-4"": 25, ""9-3"": 11, ""8-12"": 4}","[29, 40, 40, 40, 36, 36, 36, 25]",282,204,78,-5.2,0.0048,0,,
R24_S8_A0.6,8.0,flexible,OL-avg-IP,"{""8-4"": 23, ""9-3"": 12, ""8-12"": 2, ""9-1"": 1}","[25, 38, 38, 38, 36, 35, 35, 23]",268,201,67,0.0,0.0249,0,,
R24_S8_A0.6,8.0,flexible,SGS-UCB-IP,"{""8-4"": 21, ""9-3"": 15, ""8-12"": 4}","[25, 40, 40, 40, 36, 36, 36, 21]",274,198,76,-2.2,0.0346,0,,
R24_S8_A0.6,8.0,flexible,ISS,"{""8-4"": 28, ""9-3"": 1, ""8-12"": 3, ""12-4"": 1}","[31, 32, 32, 32, 30, 30, 30, 29]",246,,,8.2,0.0723,0,standard ISS,138
R24_S32_A0.6,32.0,standard,SIPP-IP,"{""8-4"": 39, ""9-1"": 3}","[39, 42, 42, 42, 42, 39, 39, 39]",324,221,103,-17.4,0.0002,0,,
R24_S32_A0.6,32.0,standard,OL-avg-IP,"{""8-4"": 34, ""9-1"": 1}","[34, 35, 35, 35, 35, 34, 34, 34]",276,208,68,0.0,0.0251,0,,
R24_S32_A0.6,32.0,standard,SGS-UCB-IP,"{""8-4"": 38, ""9-1"": 1}","[38, 39, 39, 39, 39, 38, 38, 38]",308,193,115,-11.6,0.0027,0,,
R24_S32_A0.6,32.0,standard,ISS,"{""8-4"": 31, ""8-12"": 1, ""10-2"": 1}","[32, 32, 33, 33, 32, 32, 31, 31]",256,,,7.2,0.079,0,OL-avg-IP,85
R24_S32_A0.6,32.0,flexible,SIPP-IP,"{""8-4"": 28, ""9-3"": 11, ""8-12"": 3}","[31, 42, 42, 42, 39, 39, 39, 28]",302,221,81,-12.7,0.0059,0,,
R24_S32_A0.6,32.0,flexible,OL-avg-IP,"{""8-4"": 30, ""9-3"": 4, ""9-1"": 1}","[30, 35, 35, 35, 35, 34, 34, 30]",268,208,60,0.0,0.0323,0,,
R24_S32_A0.6,32.0,flexible,SGS-UCB-IP,"{""8-4"": 23, ""9-3"": 15, ""9-1"": 1}","[23, 39, 39, 39, 39, 38, 38, 23]",278,193,85,-3.7,0.0516,0,,
R24_S32_A0.6,32.0,flexible,ISS,"{""8-4"": 30, ""9-3"": 1, ""8-12"": 1, ""10-2"": 1}","[31, 32, 33, 33, 32, 32, 31, 30]",254,,,5.2,0.0906,0,standard ISS,124
