case,kind,metric,civicq,ciw,ciw_upper,se_civicq,se_ciw,z,p,p_holm,within_bracket
"flat rates, 2 windows",strict,late_hour_0,0.09209,0.08989,,0.00458,0.00452,0.342,0.7323,1.0,
"flat rates, 2 windows",strict,late_hour_1,0.18533,0.18179,,0.00707,0.00694,0.357,0.7212,1.0,
"flat rates, 2 windows",strict,late_hour_2,0.21375,0.20621,,0.00775,0.00741,0.703,0.482,1.0,
"flat rates, 2 windows",strict,late_hour_3,0.21999,0.22685,,0.00787,0.00794,-0.613,0.5396,1.0,
"flat rates, 2 windows",strict,late_hour_4,0.22322,0.22732,,0.00791,0.00785,-0.368,0.7132,1.0,
"flat rates, 2 windows",strict,late_hour_5,0.24058,0.23131,,0.00802,0.00816,0.81,0.4182,1.0,
"flat rates, 2 windows",strict,late_hour_6,0.23494,0.23424,,0.00803,0.00814,0.061,0.9514,1.0,
"flat rates, 2 windows",strict,late_hour_7,0.23146,0.22828,,0.00825,0.00793,0.278,0.7811,1.0,
"flat rates, 2 windows",strict,mean_wait,8.0215,8.0095,,0.1527,0.1602,0.054,0.9569,1.0,
"office rates, 3 windows",strict,late_hour_0,0.00993,0.01156,,0.00144,0.00165,-0.743,0.4572,1.0,
"office rates, 3 windows",strict,late_hour_1,0.04911,0.04259,,0.00385,0.00339,1.27,0.2039,1.0,
"office rates, 3 windows",strict,late_hour_2,0.02008,0.0204,,0.00219,0.00238,-0.101,0.9195,1.0,
"office rates, 3 windows",strict,late_hour_3,0.00416,0.00504,,0.00098,0.00108,-0.602,0.5472,1.0,
"office rates, 3 windows",strict,late_hour_4,0.00305,0.00282,,0.00082,0.00072,0.206,0.8364,1.0,
"office rates, 3 windows",strict,late_hour_5,0.01059,0.01034,,0.00144,0.0014,0.122,0.9027,1.0,
"office rates, 3 windows",strict,late_hour_6,0.0288,0.02583,,0.00277,0.00252,0.792,0.4283,1.0,
"office rates, 3 windows",strict,late_hour_7,0.02062,0.0167,,0.00251,0.00219,1.176,0.2397,1.0,
"office rates, 3 windows",strict,mean_wait,1.4346,1.4484,,0.031,0.0316,-0.312,0.7553,1.0,
"office, lognormal CV 0.5",strict,late_hour_0,0.00126,0.00188,,0.00046,0.00068,-0.753,0.4515,1.0,
"office, lognormal CV 0.5",strict,late_hour_1,0.01335,0.01109,,0.00177,0.00172,0.917,0.3591,1.0,
"office, lognormal CV 0.5",strict,late_hour_2,0.00427,0.00434,,0.00084,0.00103,-0.053,0.9574,1.0,
"office, lognormal CV 0.5",strict,late_hour_3,0.00062,0.00025,,0.00033,0.00015,1.018,0.3086,1.0,
"office, lognormal CV 0.5",strict,late_hour_4,0.00044,6e-05,,0.00028,6e-05,1.278,0.2013,1.0,
"office, lognormal CV 0.5",strict,late_hour_5,0.00193,0.00295,,0.00087,0.0009,-0.818,0.4133,1.0,
"office, lognormal CV 0.5",strict,late_hour_6,0.0059,0.00731,,0.00106,0.00134,-0.83,0.4065,1.0,
"office, lognormal CV 0.5",strict,late_hour_7,0.00188,0.00196,,0.00049,0.00062,-0.105,0.9165,1.0,
"office, lognormal CV 0.5",strict,mean_wait,0.999,1.0088,,0.0168,0.0176,-0.4,0.6889,1.0,
"office, lognormal CV 1.5",strict,late_hour_0,0.01043,0.01227,,0.00154,0.00176,-0.784,0.4329,1.0,
"office, lognormal CV 1.5",strict,late_hour_1,0.05388,0.05155,,0.00387,0.00384,0.426,0.6698,1.0,
"office, lognormal CV 1.5",strict,late_hour_2,0.03779,0.04174,,0.0035,0.00384,-0.759,0.4476,1.0,
"office, lognormal CV 1.5",strict,late_hour_3,0.01261,0.01537,,0.0019,0.00222,-0.945,0.3445,1.0,
"office, lognormal CV 1.5",strict,late_hour_4,0.01026,0.00891,,0.00189,0.0017,0.534,0.5933,1.0,
"office, lognormal CV 1.5",strict,late_hour_5,0.02641,0.02264,,0.00267,0.00259,1.014,0.3105,1.0,
