office,service_time,share,placement,no_show,booked,hourly_plan,hourly_window_hours,hourly_worst_late,roster,roster_paid_hours,roster_worst_late,roster_overtime,walkin_late,walkin_mean_wait,appt_late,appt_mean_wait,appt_show_rate
office,8.0,0.0,none,0.15,0,"[2, 4, 2, 2, 2, 3, 3, 3]",21,0.0921,"{""8-4"": 3}",24,0.045,8.5,0.0184,1.418,,,
office,8.0,0.25,proportional,0.15,26,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0821,"{""8-4"": 3}",24,0.0328,7.9,0.016,1.344,0.0115,1.005,0.852
office,8.0,0.25,flat,0.15,26,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0821,"{""8-4"": 3}",24,0.0328,7.9,0.0142,1.267,0.01,0.901,0.852
office,8.0,0.25,counter,0.15,26,"[2, 3, 2, 3, 2, 3, 3, 2]",20,0.0837,"{""8-4"": 3}",24,0.0147,8.6,0.0096,1.028,0.006,0.704,0.852
office,8.0,0.5,proportional,0.15,52,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0659,"{""8-4"": 3}",24,0.0267,8.8,0.013,1.188,0.0097,0.903,0.85
office,8.0,0.5,flat,0.15,52,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0658,"{""8-4"": 3}",24,0.0168,8.8,0.0097,1.021,0.0064,0.701,0.85
office,8.0,0.5,counter,0.15,52,"[2, 3, 2, 3, 2, 3, 3, 3]",21,0.0657,"{""8-4"": 3}",24,0.0089,9.4,0.0075,0.9,0.0054,0.656,0.85
office,8.0,0.75,proportional,0.15,79,"[2, 3, 2, 2, 2, 3, 3, 2]",19,0.0741,"{""8-4"": 3}",24,0.0174,8.8,0.0101,1.098,0.0061,0.755,0.853
office,8.0,0.75,flat,0.15,79,"[2, 3, 2, 2, 2, 3, 3, 2]",19,0.09,"{""8-4"": 3}",24,0.0099,8.8,0.0062,0.867,0.0035,0.561,0.853
office,8.0,0.75,counter,0.15,79,"[2, 3, 2, 3, 2, 3, 3, 2]",20,0.061,"{""8-4"": 3}",24,0.0088,9.3,0.0053,0.823,0.0036,0.544,0.853
office,8.0,0.5,proportional,0.05,47,"[2, 3, 2, 2, 2, 3, 3, 3]",20,0.0853,"{""8-4"": 3}",24,0.0251,8.6,0.0129,1.184,0.0092,0.881,0.951
office,8.0,0.5,counter,0.05,47,"[2, 3, 2, 3, 2, 3, 3, 2]",20,0.075,"{""8-4"": 3}",24,0.0084,9.3,0.0068,0.889,0.0043,0.623,0.951
office,8.0,0.5,proportional,0.3,64,"[3, 3, 2, 2, 2, 3, 3, 3]",21,0.1029,"{""8-4"": 3}",24,0.0297,9.1,0.014,1.24,0.0101,0.987,0.705
office,8.0,0.5,counter,0.3,64,"[2, 3, 2, 3, 2, 3, 3, 3]",21,0.0767,"{""8-4"": 3}",24,0.0105,10.2,0.0082,0.956,0.0068,0.735,0.705
R8_S16_A0.6,16.0,0.0,none,0.15,0,"[8, 15, 9, 7, 6, 9, 14, 9]",77,0.0643,"{""8-4"": 12, ""9-1"": 1}",100,0.0539,40.7,0.0253,1.738,,,
R8_S16_A0.6,16.0,0.25,proportional,0.15,71,"[8, 13, 11, 6, 6, 9, 13, 10]",76,0.0795,"{""8-4"": 12}",96,0.0838,41.3,0.0366,2.147,0.0326,1.96,0.852
R8_S16_A0.6,16.0,0.25,flat,0.15,71,"[8, 12, 11, 7, 6, 10, 12, 10]",76,0.0919,"{""8-4"": 12}",96,0.0431,41.5,0.0193,1.466,0.014,1.053,0.852
R8_S16_A0.6,16.0,0.25,counter,0.15,71,"[7, 12, 10, 9, 9, 10, 11, 9]",77,0.0635,"{""8-4"": 10, ""10-2"": 1}",84,0.0706,45.1,0.0329,2.076,0.0188,1.283,0.852
R8_S16_A0.6,16.0,0.5,proportional,0.15,141,"[8, 13, 10, 6, 5, 10, 13, 9]",74,0.0896,"{""8-4"": 12}",96,0.0663,41.3,0.0296,1.91,0.0261,1.724,0.852
R8_S16_A0.6,16.0,0.5,flat,0.15,141,"[7, 12, 10, 8, 7, 9, 11, 10]",74,0.0684,"{""8-4"": 11}",88,0.0455,42.4,0.0228,1.645,0.0165,1.217,0.852
R8_S16_A0.6,16.0,0.5,counter,0.15,141,"[7, 10, 10, 9, 9, 10, 10, 10]",75,0.0882,"{""8-4"": 10}",80,0.0401,45.5,0.0276,2.005,0.0242,1.818,0.852
R8_S16_A0.6,16.0,0.75,proportional,0.15,212,"[7, 13, 11, 6, 5, 8, 13, 9]",72,0.081,"{""8-4"": 12}",96,0.0537,41.0,0.0232,1.723,0.0198,1.547,0.851
R8_S16_A0.6,16.0,0.75,flat,0.15,212,"[7, 11, 9, 9, 8, 9, 11, 9]",73,0.0815,"{""8-4"": 10}",80,0.0515,44.0,0.0314,2.241,0.0256,1.826,0.851
R8_S16_A0.6,16.0,0.75,counter,0.15,212,"[7, 9, 10, 9, 9, 10, 10, 9]",73,0.0915,"{""8-4"": 9, ""11-3"": 1}",76,0.0793,46.5,0.0439,2.772,0.0404,2.548,0.851
R8_S16_A0.6,16.0,0.5,proportional,0.05,126,"[7, 14, 9, 6, 5, 9, 13, 9]",72,0.0823,"{""8-4"": 12}",96,0.0626,41.2,0.0287,1.901,0.0249,1.704,0.951
R8_S16_A0.6,16.0,0.5,counter,0.05,126,"[7, 10, 10, 9, 9, 10, 10, 10]",75,0.0757,"{""8-4"": 10}",80,0.0387,44.9,0.0265,1.977,0.0211,1.681,0.951
R8_S16_A0.6,16.0,0.5,proportional,0.3,171,"[7, 14, 10, 6, 5, 10, 13, 9]",74,0.0819,"{""8-4"": 12}",96,0.0712,41.5,0.0316,1.975,0.0281,1.829,0.703
R8_S16_A0.6,16.0,0.5,counter,0.3,171,"[7, 10, 9, 11, 8, 10, 10, 10]",75,0.0927,"{""8-4"": 10}",80,0.0412,45.5,0.03,2.12,0.0282,2.0,0.703
