office,service_time,patience,mode,plan,staff_hours,found_by,worst_served_late,served_late_misses,worst_fail,fail_misses,overall_fail,overall_abandon,worst_hour_abandon,abandoned_per_day,wasted_min_per_leaver,mean_wait_served,served_late_by_hour,fail_by_hour
office,8.0,exp30,renege,"[2, 2, 2, 2, 2, 2, 2, 2]",16,SGS-UCB (late)@renege,0.0854,0,0.2422,6,0.1539,0.1137,0.1714,10.11,5.91,3.1,"[0.0342, 0.0854, 0.0506, 0.0152, 0.0164, 0.0346, 0.063, 0.0372]","[0.1177, 0.2422, 0.1603, 0.0735, 0.0775, 0.1357, 0.2017, 0.1393]"
office,8.0,exp30,balk,"[2, 2, 2, 2, 2, 2, 2, 2]",16,SGS-UCB (late)@renege,0.112,0,0.2747,6,0.178,0.1222,0.1832,10.86,0.0,3.463,"[0.0477, 0.112, 0.0733, 0.0256, 0.0258, 0.0488, 0.0892, 0.0541]","[0.1348, 0.2747, 0.1891, 0.093, 0.0898, 0.154, 0.2337, 0.1633]"
office,8.0,exp30,renege,"[2, 3, 2, 2, 2, 2, 3, 2]",18,SGS-UCB (late)@balk,0.0323,0,0.1219,2,0.0889,0.0711,0.0973,6.32,4.9,1.925,"[0.026, 0.0114, 0.0323, 0.0136, 0.0163, 0.0272, 0.0069, 0.0244]","[0.1032, 0.0689, 0.1194, 0.0707, 0.077, 0.1219, 0.0517, 0.1069]"
office,8.0,exp30,balk,"[2, 3, 2, 2, 2, 2, 3, 2]",18,SGS-UCB (late)@balk,0.0482,0,0.143,4,0.1046,0.0782,0.1106,6.95,0.0,2.104,"[0.0352, 0.022, 0.0482, 0.0234, 0.0258, 0.0364, 0.0106, 0.0355]","[0.1235, 0.081, 0.1416, 0.0902, 0.0896, 0.143, 0.0569, 0.124]"
office,8.0,exp30,renege,"[2, 4, 2, 2, 2, 3, 3, 3]",21,no-abandonment SGS-UCB@-,0.0271,0,0.1077,0,0.0553,0.0459,0.0829,4.08,4.49,1.22,"[0.0235, 0.0012, 0.0271, 0.0136, 0.0133, 0.0027, 0.0049, 0.0014]","[0.0985, 0.0178, 0.1077, 0.0705, 0.0703, 0.0319, 0.045, 0.0259]"
office,8.0,exp30,balk,"[2, 4, 2, 2, 2, 3, 3, 3]",21,no-abandonment SGS-UCB@-,0.0405,0,0.1226,2,0.065,0.0507,0.0915,4.5,0.0,1.329,"[0.0316, 0.0023, 0.0405, 0.0231, 0.0214, 0.0048, 0.0082, 0.0028]","[0.1202, 0.019, 0.1226, 0.0894, 0.0855, 0.0346, 0.0517, 0.029]"
office,8.0,exp30,renege,"[3, 3, 3, 2, 2, 3, 3, 3]",22,SIPP (Erlang-C)@-; SIPP-A (fail)@renege; SGS-UCB (fail)@renege; SIPP-A (fail)@balk; SGS-UCB (fail)@balk,0.0135,0,0.0706,0,0.0435,0.0379,0.0579,3.37,3.96,0.983,"[0.0022, 0.0101, 0.0039, 0.0096, 0.0135, 0.0027, 0.0049, 0.0014]","[0.024, 0.0626, 0.0326, 0.0591, 0.0706, 0.0319, 0.045, 0.0259]"
office,8.0,exp30,balk,"[3, 3, 3, 2, 2, 3, 3, 3]",22,SIPP (Erlang-C)@-; SIPP-A (fail)@renege; SGS-UCB (fail)@renege; SIPP-A (fail)@balk; SGS-UCB (fail)@balk,0.0213,0,0.0849,0,0.0507,0.0412,0.065,3.66,0.0,1.082,"[0.0045, 0.0179, 0.0068, 0.0159, 0.0213, 0.0048, 0.0082, 0.0028]","[0.0291, 0.073, 0.0374, 0.0725, 0.0849, 0.0346, 0.0517, 0.029]"
office,8.0,exp60,renege,"[2, 3, 2, 2, 2, 2, 3, 2]",18,SGS-UCB (late)@renege; SGS-UCB (late)@balk,0.064,0,0.1194,2,0.0829,0.0464,0.0636,4.12,6.11,2.568,"[0.0462, 0.0288, 0.064, 0.0293, 0.0288, 0.0528, 0.0152, 0.0475]","[0.093, 0.0675, 0.1194, 0.0662, 0.0691, 0.113, 0.0443, 0.0986]"
office,8.0,exp60,balk,"[2, 3, 2, 2, 2, 2, 3, 2]",18,SGS-UCB (late)@renege; SGS-UCB (late)@balk,0.0772,0,0.1357,2,0.0929,0.0494,0.0715,4.39,0.0,2.731,"[0.0542, 0.0335, 0.0772, 0.0365, 0.0367, 0.0621, 0.0199, 0.0559]","[0.1066, 0.0702, 0.1357, 0.0773, 0.077, 0.1292, 0.05, 0.1092]"
