office,mode,plan_from,plan,staff_hours,timing,stable,no_return_abandon,no_return_worst_served_late,no_return_fail_hour0,returns_per_day,repeat_visits_per_100,overall_abandon,worst_served_late,served_late_hours_over,served_late_misses,worst_fail,fail_hour0,fail_by_hour,served_late_by_hour
R8_S16_A0.6,balk,SGS-UCB (fail),"[9, 13, 9, 6, 6, 9, 12, 9]",73,profile,True,0.0583,0.0159,0.0568,21.38,8.91,0.0824,0.0267,0,0,0.1116,0.0776,"[0.0776, 0.1009, 0.1115, 0.0963, 0.0712, 0.1066, 0.1116, 0.1039]","[0.0081, 0.0168, 0.0267, 0.0264, 0.0143, 0.0164, 0.0226, 0.0231]"
R8_S16_A0.6,balk,SGS-UCB (fail),"[9, 13, 9, 6, 6, 9, 12, 9]",73,opening,True,0.0583,0.0159,0.0568,47.25,19.69,0.1643,0.2766,1,1,0.534,0.534,"[0.534, 0.2391, 0.0951, 0.0699, 0.0509, 0.0702, 0.0729, 0.0674]","[0.2766, 0.0739, 0.0256, 0.0177, 0.0083, 0.0063, 0.0097, 0.0127]"
R8_S16_A0.6,balk,SGS-UCB (late),"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,True,0.1576,0.0825,0.2391,354.0,147.5,0.5958,0.9157,8,8,0.9726,0.7622,"[0.7622, 0.9468, 0.9694, 0.9202, 0.8721, 0.8684, 0.941, 0.9726]","[0.5026, 0.8686, 0.9146, 0.7826, 0.6598, 0.6935, 0.8597, 0.9157]"
R8_S16_A0.6,balk,SGS-UCB (late),"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,False,0.1576,0.0825,0.2391,,,,,,,,,,
R8_S16_A0.6,renege,SGS-UCB (fail),"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,True,0.0618,0.0157,0.0783,22.88,9.53,0.0878,0.0225,0,0,0.1102,0.1057,"[0.1057, 0.1038, 0.0969, 0.0818, 0.1102, 0.0966, 0.1071, 0.0922]","[0.0146, 0.0122, 0.0141, 0.0173, 0.0225, 0.0115, 0.0141, 0.0136]"
R8_S16_A0.6,renege,SGS-UCB (fail),"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,True,0.0618,0.0157,0.0783,73.5,30.62,0.2341,0.6084,2,2,0.7841,0.7841,"[0.7841, 0.4952, 0.1101, 0.0589, 0.0853, 0.0637, 0.0654, 0.0568]","[0.6084, 0.2634, 0.024, 0.0117, 0.0166, 0.0041, 0.0051, 0.0074]"
R8_S16_A0.6,renege,SGS-UCB (late),"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,True,0.152,0.069,0.2037,378.0,157.5,0.6116,0.9869,8,8,0.9956,0.8051,"[0.8051, 0.9956, 0.9913, 0.9498, 0.9064, 0.9498, 0.9917, 0.9931]","[0.6296, 0.9869, 0.9737, 0.8689, 0.7921, 0.8845, 0.976, 0.9794]"
R8_S16_A0.6,renege,SGS-UCB (late),"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,False,0.152,0.069,0.2037,,,,,,,,,,
office,balk,SGS-UCB (fail),"[3, 3, 3, 2, 2, 3, 3, 3]",22,profile,True,0.0412,0.0213,0.0291,4.24,4.77,0.0456,0.0221,0,0,0.0887,0.0332,"[0.0332, 0.0812, 0.0419, 0.0794, 0.0887, 0.0363, 0.061, 0.034]","[0.0053, 0.02, 0.0082, 0.0177, 0.0221, 0.0042, 0.0108, 0.004]"
office,balk,SGS-UCB (fail),"[3, 3, 3, 2, 2, 3, 3, 3]",22,opening,True,0.0412,0.0213,0.0291,4.24,4.77,0.0455,0.0202,0,0,0.0848,0.0603,"[0.0603, 0.0848, 0.0358, 0.0729, 0.0758, 0.0345, 0.0564, 0.029]","[0.012, 0.0199, 0.0062, 0.0202, 0.0194, 0.0039, 0.0104, 0.0049]"
