patience,windows,rho_star,erlang_c_late_at_rho_star,beta_star
15.0,1,0.4841,0.184,0.5159
15.0,2,0.6294,0.1212,0.5241
15.0,3,0.7089,0.0983,0.5042
15.0,4,0.7595,0.0865,0.481
15.0,6,0.8201,0.0739,0.4406
15.0,8,0.8552,0.0667,0.4095
15.0,10,0.8782,0.0617,0.3852
15.0,15,0.9116,0.0535,0.3423
15.0,20,0.9299,0.0483,0.3134
15.0,30,0.9497,0.0416,0.2753
15.0,40,0.9604,0.0373,0.2504
15.0,80,0.9779,0.0284,0.1973
30.0,1,0.421,0.1422,0.579
30.0,2,0.5758,0.0857,0.6
30.0,3,0.6635,0.0663,0.5828
30.0,4,0.7208,0.0569,0.5583
30.0,6,0.7914,0.0479,0.5109
30.0,8,0.8331,0.0435,0.472
30.0,10,0.8605,0.0408,0.4411
30.0,15,0.9002,0.0364,0.3865
30.0,20,0.9216,0.0335,0.3506
30.0,30,0.9444,0.0296,0.3044
30.0,40,0.9565,0.027,0.2748
30.0,80,0.9761,0.0212,0.2136
60.0,1,0.3775,0.1175,0.6225
60.0,2,0.5348,0.0651,0.6579
60.0,3,0.6256,0.0473,0.6484
60.0,4,0.6861,0.0387,0.6277
60.0,6,0.7624,0.0307,0.5819
60.0,8,0.8088,0.0271,0.5409
60.0,10,0.8399,0.0251,0.5062
60.0,15,0.886,0.0225,0.4417
60.0,20,0.9111,0.0211,0.3976
60.0,30,0.9377,0.0193,0.3411
60.0,40,0.9517,0.018,0.3054
60.0,80,0.9739,0.0148,0.2335
120.0,1,0.3511,0.104,0.6489
120.0,2,0.5084,0.0542,0.6952
120.0,3,0.6,0.0374,0.6928
120.0,4,0.6614,0.0293,0.6772
120.0,6,0.7397,0.0216,0.6375
120.0,8,0.7881,0.018,0.5994
120.0,10,0.8211,0.016,0.5657
120.0,15,0.8711,0.0136,0.4992
120.0,20,0.8992,0.0125,0.4509
120.0,30,0.9296,0.0115,0.3855
120.0,40,0.9458,0.0109,0.3431
120.0,80,0.9712,0.0095,0.2577
