office,mean_load,alpha,patience,no_abandonment_plan,no_abandonment_hours,fail_target_plan,fail_target_hours,saving,worst_fail,fail_misses
R1,1,0.1,exp30,"[2, 3, 2, 2, 2, 2, 3, 2]",18,"[2, 3, 2, 2, 2, 2, 3, 2]",18,0.0,0.0616,0
R1,1,0.1,logn60,"[2, 3, 2, 2, 2, 2, 3, 2]",18,"[2, 3, 2, 2, 2, 2, 3, 2]",18,0.0,0.0341,0
R2,2,0.1,exp30,"[3, 4, 3, 2, 2, 3, 4, 3]",24,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0.0,0.0745,0
R2,2,0.1,logn60,"[3, 4, 3, 2, 2, 3, 4, 3]",24,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0.0,0.0719,0
R4,4,0.1,exp30,"[5, 7, 6, 3, 3, 5, 7, 5]",41,"[5, 7, 5, 3, 3, 5, 7, 4]",39,0.0488,0.092,0
R4,4,0.1,logn60,"[5, 7, 6, 3, 3, 5, 7, 5]",41,"[5, 7, 6, 3, 3, 5, 7, 5]",41,0.0,0.0631,0
R8,8,0.1,exp30,"[8, 14, 9, 6, 5, 9, 13, 8]",72,"[8, 12, 8, 5, 5, 9, 11, 8]",66,0.0833,0.0936,0
R8,8,0.1,logn60,"[8, 14, 9, 6, 5, 9, 13, 8]",72,"[8, 14, 9, 5, 6, 8, 13, 8]",71,0.0139,0.106,0
R16,16,0.1,exp30,"[17, 27, 15, 10, 9, 17, 25, 15]",135,"[15, 24, 14, 9, 9, 16, 22, 14]",123,0.0889,0.085,0
R16,16,0.1,logn60,"[17, 27, 15, 10, 9, 17, 25, 15]",135,"[16, 27, 15, 10, 9, 17, 25, 15]",134,0.0074,0.0848,0
R32,32,0.1,exp30,"[31, 52, 29, 21, 15, 34, 48, 28]",258,"[29, 45, 27, 16, 16, 30, 42, 26]",231,0.1047,0.0951,0
R32,32,0.1,logn60,"[31, 52, 29, 21, 15, 34, 48, 28]",258,"[31, 52, 29, 20, 16, 32, 49, 28]",257,0.0039,0.0654,0
office,1.5,0.02,exp30,"[3, 4, 3, 3, 3, 3, 4, 3]",26,"[4, 4, 4, 3, 3, 4, 4, 4]",30,-0.1538,0.0148,0
office,1.5,0.2,exp30,"[2, 3, 2, 2, 2, 2, 3, 2]",18,"[2, 3, 2, 2, 2, 2, 3, 2]",18,0.0,0.1219,0
R8,8.0,0.02,exp30,"[10, 15, 9, 6, 6, 9, 14, 9]",78,"[11, 16, 10, 7, 7, 12, 14, 10]",87,-0.1154,0.018,0
R8,8.0,0.2,exp30,"[8, 14, 8, 5, 5, 8, 13, 8]",69,"[7, 11, 7, 5, 4, 7, 10, 7]",58,0.1594,0.171,0
