service_time,threshold,patience,windows,delta_star,scaled_delta,beta_star,alpha_star,alpha_star_sqrt_c,k1
4.0,5.0,30.0,10,2.35009,2.93761,0.74316,0.0177778,0.05622,0.21342
4.0,5.0,30.0,20,2.73045,3.41307,0.61055,0.0140323,0.06275,0.21342
4.0,5.0,30.0,50,3.06301,3.82876,0.43317,0.012185,0.08616,0.21342
4.0,5.0,30.0,100,3.2813,4.10163,0.32813,0.0107657,0.10766,0.21342
4.0,5.0,30.0,200,3.51045,4.38807,0.24823,0.0090131,0.12746,0.21342
4.0,5.0,30.0,500,3.82951,4.78688,0.17126,0.0066975,0.14976,0.21342
4.0,5.0,30.0,1000,4.08034,5.10043,0.12903,0.0051711,0.16353,0.21342
4.0,5.0,30.0,2000,4.33742,5.42177,0.09699,0.0039079,0.17477,0.21342
4.0,5.0,30.0,5000,4.68449,5.85561,0.06625,0.0026338,0.18624,0.21342
4.0,5.0,30.0,10000,4.95114,6.18893,0.04951,0.0019278,0.19278,0.21342
4.0,5.0,120.0,10,2.62649,3.28311,0.83057,0.0106342,0.03363,0.12318
4.0,5.0,120.0,20,3.20019,4.00023,0.71558,0.0065259,0.02918,0.12318
4.0,5.0,120.0,50,3.78178,4.72722,0.53482,0.0042547,0.03008,0.12318
4.0,5.0,120.0,100,4.05583,5.06979,0.40558,0.0036606,0.03661,0.12318
4.0,5.0,120.0,200,4.23599,5.29498,0.29953,0.0033916,0.04797,0.12318
4.0,5.0,120.0,500,4.46893,5.58616,0.19986,0.0028992,0.06483,0.12318
4.0,5.0,120.0,1000,4.67014,5.83767,0.14768,0.0024144,0.07635,0.12318
4.0,5.0,120.0,2000,4.88935,6.11169,0.10933,0.0019292,0.08628,0.12318
4.0,5.0,120.0,5000,5.20021,6.50027,0.07354,0.0013695,0.09684,0.12318
4.0,5.0,120.0,10000,5.44729,6.80911,0.05447,0.0010304,0.10304,0.12318
4.0,15.0,30.0,10,0.76565,2.87119,0.24212,0.0419088,0.13253,0.21342
4.0,15.0,30.0,20,0.84898,3.18366,0.18984,0.0327228,0.14634,0.21342
4.0,15.0,30.0,50,0.96109,3.60409,0.13592,0.0229729,0.16244,0.21342
4.0,15.0,30.0,100,1.04743,3.92786,0.10474,0.0172732,0.17273,0.21342
4.0,15.0,30.0,200,1.13495,4.25606,0.08025,0.0128247,0.18137,0.21342
4.0,15.0,30.0,500,1.25218,4.69566,0.056,0.0085164,0.19043,0.21342
4.0,15.0,30.0,1000,1.34179,5.03173,0.04243,0.0061896,0.19573,0.21342
4.0,15.0,30.0,2000,1.43205,5.37018,0.03202,0.0044703,0.19992,0.21342
4.0,15.0,30.0,5000,1.55211,5.82043,0.02195,0.0028858,0.20406,0.21342
4.0,15.0,30.0,10000,1.64338,6.16266,0.01643,0.0020637,0.20637,0.21342
4.0,15.0,120.0,10,1.00075,3.75281,0.31646,0.0156778,0.04958,0.12318
4.0,15.0,120.0,20,1.07617,4.03565,0.24064,0.0130509,0.05837,0.12318
4.0,15.0,120.0,50,1.16465,4.36743,0.16471,0.0103166,0.07295,0.12318
4.0,15.0,120.0,100,1.23708,4.63904,0.12371,0.0082787,0.08279,0.12318
4.0,15.0,120.0,200,1.31398,4.92743,0.09291,0.0064488,0.0912,0.12318
4.0,15.0,120.0,500,1.42098,5.32867,0.06355,0.0044791,0.10016,0.12318
4.0,15.0,120.0,1000,1.50501,5.64378,0.04759,0.0033344,0.10544,0.12318
4.0,15.0,120.0,2000,1.59105,5.96642,0.03558,0.0024516,0.10964,0.12318
4.0,15.0,120.0,5000,1.7071,6.40162,0.02414,0.0016094,0.1138,0.12318
4.0,15.0,120.0,10000,1.79619,6.73573,0.01796,0.0011613,0.11613,0.12318
4.0,30.0,30.0,10,0.37079,2.78091,0.11725,0.0538624,0.17033,0.21342
4.0,30.0,30.0,20,0.41485,3.11138,0.09276,0.0398029,0.178,0.21342
4.0,30.0,30.0,50,0.47353,3.55146,0.06697,0.0264209,0.18682,0.21342
4.0,30.0,30.0,100,0.51826,3.88698,0.05183,0.0192365,0.19236,0.21342
4.0,30.0,30.0,200,0.56328,4.22457,0.03983,0.0139265,0.19695,0.21342
4.0,30.0,30.0,500,0.62315,4.6736,0.02787,0.0090201,0.2017,0.21342
4.0,30.0,30.0,1000,0.66866,5.01498,0.02115,0.006465,0.20444,0.21342
4.0,30.0,30.0,2000,0.71434,5.35753,0.01597,0.0046194,0.20659,0.21342
4.0,30.0,30.0,5000,0.7749,5.81175,0.01096,0.0029515,0.2087,0.21342
4.0,30.0,30.0,10000,0.82082,6.15616,0.00821,0.0020987,0.20987,0.21342
4.0,30.0,120.0,10,0.47037,3.52775,0.14874,0.0245376,0.07759,0.12318
4.0,30.0,120.0,20,0.50827,3.81199,0.11365,0.0192452,0.08607,0.12318
4.0,30.0,120.0,50,0.56086,4.20645,0.07932,0.0135143,0.09556,0.12318
4.0,30.0,120.0,100,0.6022,4.5165,0.06022,0.0101431,0.10143,0.12318
4.0,30.0,120.0,200,0.64461,4.83456,0.04558,0.0075128,0.10625,0.12318
4.0,30.0,120.0,500,0.70196,5.26467,0.03139,0.0049727,0.11119,0.12318
4.0,30.0,120.0,1000,0.74609,5.59567,0.02359,0.0036061,0.11404,0.12318
4.0,30.0,120.0,2000,0.79072,5.93037,0.01768,0.0025994,0.11625,0.12318
