patience,mean_patience,G_T,load,windows,fluid_windows,excess,excess_over_sqrt_load
exp30,30.0,0.39347,50,46,45.0,1.0,0.1414
exp30,30.0,0.39347,100,91,90.0,1.0,0.1
exp30,30.0,0.39347,200,181,180.0,1.0,0.0707
exp30,30.0,0.39347,300,271,270.0,1.0,0.0577
exp30,30.0,0.39347,500,451,450.0,1.0,0.0447
exp30,30.0,0.39347,1000,901,900.0,1.0,0.0316
exp30,30.0,0.39347,2000,1801,1800.0,1.0,0.0224
exp30,30.0,0.39347,3000,2701,2700.0,1.0,0.0183
exp30,30.0,0.39347,5000,4501,4500.0,1.0,0.0141
exp300,300.0,0.04877,50,50,47.561,2.439,0.3449
exp300,300.0,0.04877,100,98,95.123,2.877,0.2877
exp300,300.0,0.04877,200,194,190.246,3.754,0.2655
exp300,300.0,0.04877,300,290,285.369,4.631,0.2674
exp300,300.0,0.04877,500,482,475.615,6.385,0.2856
exp300,300.0,0.04877,1000,959,951.229,7.771,0.2457
exp300,300.0,0.04877,2000,1914,1902.459,11.541,0.2581
exp300,300.0,0.04877,3000,2868,2853.688,14.312,0.2613
exp300,300.0,0.04877,5000,4774,4756.147,17.853,0.2525
exp_kink,142.368,0.1,50,48,45.0,3.0,0.4243
exp_kink,142.368,0.1,100,94,90.0,4.0,0.4
exp_kink,142.368,0.1,200,186,180.0,6.0,0.4243
exp_kink,142.368,0.1,300,278,270.0,8.0,0.4619
exp_kink,142.368,0.1,500,461,450.0,11.0,0.4919
exp_kink,142.368,0.1,1000,916,900.0,16.0,0.506
exp_kink,142.368,0.1,2000,1823,1800.0,23.0,0.5143
exp_kink,142.368,0.1,3000,2729,2700.0,29.0,0.5295
exp_kink,142.368,0.1,5000,4539,4500.0,39.0,0.5515
exp120,120.0,0.1175,50,48,45.0,3.0,0.4243
exp120,120.0,0.1175,100,93,90.0,3.0,0.3
exp120,120.0,0.1175,200,184,180.0,4.0,0.2828
exp120,120.0,0.1175,300,274,270.0,4.0,0.2309
exp120,120.0,0.1175,500,455,450.0,5.0,0.2236
exp120,120.0,0.1175,1000,904,900.0,4.0,0.1265
exp120,120.0,0.1175,2000,1801,1800.0,1.0,0.0224
exp120,120.0,0.1175,3000,2701,2700.0,1.0,0.0183
exp120,120.0,0.1175,5000,4501,4500.0,1.0,0.0141
